nutzer_id,alter,geschlecht,region,politische_haltung,gewaehlte_partei,wahlfrequenz,wichtigstes_wahlthema,vertrauensmedien,politisches_engagement,parteimitglied,jahr_letzte_wahl,uebereinstimmung_regierung,interessen
20,70,weiblich,Hessen,liberal,FDP,gelegentlich,Bildung,Tagesschau,5,False,,0.66,"Sport, Wirtschaft, Klima"
21,44,divers,Hamburg,zentristisch,AfD,gelegentlich,Klima,Spiegel,4,False,2017.0,0.97,"Technologie, Essen, Reisen"
22,35,divers,Bayern,konservativ,Grüne,gelegentlich,Klima,TikTok,8,True,2024.0,0.45,"Reisen, Bildung, Essen"
23,24,männlich,Hamburg,zentristisch,SPD,immer,Sicherheit,Telegram,4,True,,0.11,"Wirtschaft, Politik, Essen"
24,75,weiblich,Berlin,konservativ,SPD,immer,Steuern,TikTok,4,True,,1.0,"Politik, Sport, Technologie"
25,29,divers,Sachsen,liberal,CDU,immer,Sicherheit,TikTok,0,True,,0.04,"Musik, Essen, Klima"
26,45,weiblich,Hessen,liberal,SPD,gelegentlich,Steuern,TikTok,4,True,2021.0,0.07,"Wirtschaft, Musik, Essen"
27,49,weiblich,Berlin,liberal,CDU,immer,Steuern,Telegram,3,False,2017.0,0.17,"Wirtschaft, Bildung, Essen"
28,43,männlich,Hamburg,liberal,SPD,gelegentlich,Sicherheit,TikTok,9,False,2021.0,0.5,"Technologie, Politik, Reisen"
29,49,weiblich,Bayern,zentristisch,SPD,immer,Gesundheit,Spiegel,10,True,,0.9,"Politik, Musik, Technologie"
30,32,divers,Hamburg,liberal,CDU,gelegentlich,Klima,FAZ,10,True,2021.0,0.47,"Reisen, Technologie, Wirtschaft"
31,30,divers,Hessen,zentristisch,FDP,immer,Gesundheit,Spiegel,4,True,2017.0,0.47,"Politik, Reisen, Sport"
32,49,männlich,NRW,konservativ,Die Linke,gelegentlich,Bildung,Tagesschau,4,True,2024.0,0.44,"Bildung, Musik, Wirtschaft"
33,22,divers,Sachsen,zentristisch,FDP,nie,Gesundheit,Tagesschau,3,True,2021.0,0.34,"Reisen, Musik, Politik"
34,67,männlich,NRW,progressiv,AfD,gelegentlich,Steuern,TikTok,10,True,2017.0,0.07,"Musik, Politik, Sport"
35,18,divers,Berlin,konservativ,AfD,gelegentlich,Sicherheit,Telegram,4,False,2017.0,0.47,"Reisen, Sport, Politik"
36,41,divers,Hessen,konservativ,SPD,gelegentlich,Migration,Facebook-Gruppen,7,False,,0.24,"Reisen, Essen, Politik"
37,66,männlich,Hamburg,zentristisch,Grüne,immer,Migration,TikTok,9,False,,0.52,"Musik, Essen, Reisen"
38,57,divers,Hamburg,zentristisch,Grüne,nie,Migration,TikTok,10,False,2017.0,0.41,"Technologie, Wirtschaft, Essen"
39,32,männlich,Sachsen,konservativ,CDU,gelegentlich,Sicherheit,Facebook-Gruppen,0,False,,0.29,"Politik, Klima, Bildung"
40,32,weiblich,Hamburg,zentristisch,AfD,immer,Klima,Spiegel,4,False,2024.0,0.71,"Sport, Bildung, Wirtschaft"
41,54,divers,NRW,progressiv,CDU,immer,Sicherheit,Spiegel,2,False,2021.0,0.3,"Wirtschaft, Klima, Technologie"
42,65,divers,Berlin,konservativ,FDP,immer,Sicherheit,FAZ,3,True,2017.0,0.65,"Reisen, Musik, Klima"
43,31,weiblich,NRW,liberal,Grüne,immer,Klima,Telegram,0,True,,0.84,"Reisen, Sport, Technologie"
44,32,divers,Sachsen,liberal,CDU,immer,Gesundheit,Spiegel,10,False,,0.69,"Technologie, Klima, Politik"
45,60,divers,Hessen,konservativ,CDU,immer,Gesundheit,TikTok,7,True,2017.0,0.06,"Essen, Musik, Technologie"
46,30,weiblich,Berlin,konservativ,SPD,immer,Klima,FAZ,6,False,2024.0,0.15,"Reisen, Wirtschaft, Politik"
47,34,weiblich,NRW,zentristisch,CDU,nie,Migration,FAZ,0,True,,0.76,"Reisen, Musik, Essen"
48,58,männlich,Hessen,progressiv,CDU,immer,Gesundheit,YouTube,3,True,2017.0,0.71,"Wirtschaft, Musik, Klima"
49,50,männlich,Hamburg,konservativ,FDP,gelegentlich,Gesundheit,Facebook-Gruppen,3,True,2024.0,0.57,"Reisen, Sport, Musik"
50,20,weiblich,Sachsen,zentristisch,Grüne,immer,Migration,FAZ,4,False,,0.43,"Technologie, Klima, Reisen"
51,35,divers,Bayern,progressiv,Die Linke,gelegentlich,Gesundheit,Tagesschau,1,True,,0.71,"Technologie, Bildung, Wirtschaft"
52,39,männlich,Hessen,konservativ,Grüne,immer,Steuern,Telegram,5,True,2024.0,0.57,"Reisen, Essen, Klima"
53,40,divers,Berlin,konservativ,FDP,gelegentlich,Klima,Spiegel,10,True,2024.0,0.82,"Reisen, Klima, Wirtschaft"
54,63,divers,Sachsen,progressiv,Grüne,gelegentlich,Migration,Facebook-Gruppen,5,False,,0.55,"Technologie, Bildung, Wirtschaft"
55,75,weiblich,Bayern,liberal,CDU,gelegentlich,Steuern,YouTube,5,False,2021.0,0.04,"Wirtschaft, Politik, Essen"
56,63,weiblich,Hessen,progressiv,AfD,immer,Gesundheit,TikTok,3,True,2021.0,0.39,"Sport, Essen, Wirtschaft"
57,26,weiblich,Bayern,progressiv,Grüne,gelegentlich,Migration,Spiegel,7,True,,0.07,"Bildung, Wirtschaft, Politik"
58,37,divers,Hessen,konservativ,FDP,immer,Bildung,FAZ,9,True,2024.0,0.78,"Technologie, Essen, Wirtschaft"
59,63,divers,NRW,konservativ,AfD,immer,Steuern,Tagesschau,6,True,,0.26,"Politik, Bildung, Sport"
60,54,weiblich,Hamburg,progressiv,SPD,immer,Bildung,TikTok,2,False,2024.0,0.83,"Wirtschaft, Politik, Musik"
61,44,männlich,Hamburg,konservativ,AfD,gelegentlich,Steuern,FAZ,3,False,2024.0,0.05,"Reisen, Klima, Bildung"
62,71,männlich,Hessen,progressiv,FDP,immer,Klima,YouTube,2,True,2017.0,0.61,"Musik, Bildung, Technologie"
63,64,divers,NRW,zentristisch,FDP,immer,Klima,Facebook-Gruppen,9,True,2021.0,0.05,"Klima, Politik, Musik"
64,22,männlich,NRW,konservativ,Grüne,nie,Sicherheit,Telegram,2,False,2021.0,0.07,"Wirtschaft, Bildung, Technologie"
65,19,weiblich,Hessen,zentristisch,CDU,immer,Bildung,Spiegel,5,True,2021.0,0.51,"Sport, Klima, Reisen"
66,30,divers,Hessen,progressiv,Grüne,immer,Migration,FAZ,3,False,2024.0,0.37,"Musik, Bildung, Wirtschaft"
67,41,männlich,Hessen,konservativ,FDP,gelegentlich,Gesundheit,Telegram,4,False,2024.0,0.69,"Wirtschaft, Sport, Politik"
68,60,divers,Hessen,zentristisch,SPD,immer,Bildung,Telegram,4,False,,0.89,"Klima, Reisen, Musik"
69,57,weiblich,NRW,konservativ,SPD,gelegentlich,Bildung,TikTok,6,False,2017.0,0.43,"Musik, Technologie, Sport"
70,36,weiblich,Hessen,konservativ,AfD,immer,Gesundheit,FAZ,10,False,2024.0,0.67,"Essen, Politik, Sport"
71,69,divers,NRW,progressiv,Grüne,gelegentlich,Migration,Spiegel,5,False,,0.76,"Wirtschaft, Politik, Musik"
72,31,weiblich,Bayern,liberal,CDU,nie,Steuern,FAZ,2,True,2017.0,0.31,"Klima, Musik, Technologie"
73,53,männlich,Hamburg,progressiv,FDP,immer,Gesundheit,Telegram,10,False,2021.0,0.6,"Klima, Essen, Technologie"
74,39,weiblich,Hessen,zentristisch,Grüne,immer,Gesundheit,Tagesschau,1,False,,0.9,"Musik, Reisen, Politik"
75,32,männlich,NRW,konservativ,Grüne,gelegentlich,Sicherheit,YouTube,10,False,2021.0,0.29,"Reisen, Technologie, Essen"
76,33,divers,Hamburg,zentristisch,AfD,gelegentlich,Klima,FAZ,2,True,2017.0,0.13,"Bildung, Essen, Politik"
77,40,weiblich,Berlin,konservativ,CDU,immer,Gesundheit,Tagesschau,7,False,2021.0,0.75,"Politik, Sport, Reisen"
78,41,männlich,Hamburg,konservativ,SPD,gelegentlich,Klima,FAZ,7,True,,0.39,"Technologie, Musik, Essen"
79,26,männlich,Sachsen,progressiv,FDP,immer,Gesundheit,Tagesschau,0,False,,0.86,"Bildung, Wirtschaft, Reisen"
80,55,männlich,Sachsen,liberal,Grüne,immer,Steuern,FAZ,6,True,2017.0,0.88,"Klima, Sport, Bildung"
81,26,divers,Bayern,zentristisch,Grüne,immer,Bildung,Telegram,8,False,,0.63,"Technologie, Reisen, Wirtschaft"
82,40,weiblich,Berlin,progressiv,FDP,immer,Gesundheit,Telegram,4,True,2024.0,0.29,"Technologie, Wirtschaft, Klima"
83,22,divers,Bayern,zentristisch,Grüne,gelegentlich,Migration,TikTok,5,True,2021.0,0.44,"Klima, Wirtschaft, Bildung"
84,35,weiblich,NRW,konservativ,SPD,immer,Bildung,TikTok,2,True,2017.0,0.35,"Klima, Sport, Essen"
85,56,divers,Bayern,konservativ,Die Linke,immer,Klima,TikTok,8,True,2024.0,0.6,"Wirtschaft, Politik, Bildung"
86,22,weiblich,Sachsen,konservativ,AfD,immer,Sicherheit,Spiegel,0,True,2017.0,0.32,"Sport, Politik, Bildung"
87,64,weiblich,Sachsen,liberal,AfD,immer,Migration,Telegram,10,False,2017.0,0.16,"Technologie, Reisen, Bildung"
88,58,divers,Bayern,zentristisch,Grüne,immer,Sicherheit,FAZ,7,False,2021.0,0.41,"Technologie, Essen, Wirtschaft"
89,63,divers,NRW,zentristisch,AfD,nie,Gesundheit,Spiegel,9,True,2021.0,0.39,"Musik, Klima, Reisen"
90,61,weiblich,Bayern,konservativ,CDU,immer,Sicherheit,Tagesschau,9,True,2024.0,0.42,"Essen, Musik, Sport"
91,20,weiblich,Berlin,konservativ,FDP,immer,Klima,Spiegel,9,True,,0.29,"Bildung, Wirtschaft, Technologie"
92,41,weiblich,Bayern,konservativ,CDU,immer,Klima,TikTok,6,True,2021.0,0.12,"Wirtschaft, Klima, Sport"
93,29,männlich,Berlin,liberal,FDP,immer,Migration,Tagesschau,1,True,2017.0,1.0,"Wirtschaft, Politik, Reisen"
94,53,divers,Hessen,zentristisch,CDU,nie,Steuern,FAZ,8,False,2021.0,0.08,"Bildung, Reisen, Klima"
95,71,divers,Hamburg,liberal,Die Linke,gelegentlich,Steuern,YouTube,6,True,2021.0,0.98,"Sport, Musik, Wirtschaft"
96,60,männlich,Bayern,konservativ,AfD,gelegentlich,Sicherheit,TikTok,2,False,,0.06,"Reisen, Wirtschaft, Essen"
97,49,weiblich,Berlin,liberal,Grüne,immer,Klima,FAZ,9,False,2024.0,0.26,"Sport, Reisen, Politik"
98,23,weiblich,NRW,zentristisch,FDP,immer,Steuern,Tagesschau,3,True,2024.0,0.07,"Wirtschaft, Bildung, Politik"
99,56,männlich,Hessen,zentristisch,Grüne,immer,Bildung,Tagesschau,0,False,2021.0,0.17,"Wirtschaft, Essen, Sport"
100,48,divers,Berlin,konservativ,Die Linke,gelegentlich,Steuern,Facebook-Gruppen,9,False,2021.0,0.61,"Sport, Technologie, Essen"
101,20,divers,Hessen,konservativ,Die Linke,gelegentlich,Bildung,YouTube,8,True,2021.0,0.71,"Sport, Wirtschaft, Reisen"
102,23,divers,Hamburg,zentristisch,FDP,gelegentlich,Steuern,FAZ,5,False,2017.0,0.13,"Politik, Technologie, Wirtschaft"
103,22,divers,Hamburg,konservativ,SPD,immer,Klima,Tagesschau,6,False,2021.0,0.08,"Sport, Bildung, Klima"
104,66,männlich,NRW,zentristisch,Grüne,immer,Steuern,TikTok,10,True,2017.0,0.38,"Klima, Technologie, Essen"
105,63,weiblich,Hamburg,liberal,SPD,nie,Klima,YouTube,9,True,2021.0,0.29,"Sport, Technologie, Bildung"
106,43,weiblich,Sachsen,liberal,Die Linke,immer,Gesundheit,Tagesschau,4,True,2017.0,0.61,"Technologie, Politik, Essen"
107,68,weiblich,Hamburg,zentristisch,FDP,nie,Steuern,Tagesschau,6,False,2021.0,0.16,"Reisen, Essen, Politik"
108,27,männlich,Hamburg,konservativ,Die Linke,immer,Migration,YouTube,5,False,2021.0,0.32,"Politik, Technologie, Reisen"
109,41,weiblich,Bayern,liberal,FDP,gelegentlich,Migration,Telegram,5,False,2017.0,0.37,"Technologie, Sport, Klima"
110,45,divers,Berlin,konservativ,CDU,nie,Steuern,YouTube,7,False,,0.2,"Essen, Musik, Bildung"
111,51,männlich,Hamburg,zentristisch,CDU,immer,Bildung,Facebook-Gruppen,10,True,2024.0,0.4,"Reisen, Wirtschaft, Technologie"
112,19,weiblich,Bayern,liberal,AfD,immer,Steuern,Spiegel,6,False,2017.0,0.9,"Technologie, Wirtschaft, Politik"
113,74,divers,NRW,progressiv,Die Linke,nie,Gesundheit,Tagesschau,3,False,2024.0,0.57,"Wirtschaft, Reisen, Bildung"
114,60,männlich,Berlin,progressiv,FDP,immer,Gesundheit,Facebook-Gruppen,5,False,2021.0,0.22,"Wirtschaft, Essen, Sport"
115,63,männlich,Sachsen,progressiv,AfD,gelegentlich,Klima,Telegram,7,True,2021.0,0.14,"Bildung, Klima, Reisen"
116,60,weiblich,Bayern,konservativ,SPD,nie,Klima,YouTube,10,True,2021.0,0.31,"Politik, Sport, Klima"
117,52,divers,NRW,progressiv,Grüne,immer,Migration,Facebook-Gruppen,5,True,2021.0,0.41,"Sport, Bildung, Wirtschaft"
118,35,weiblich,Sachsen,zentristisch,FDP,immer,Gesundheit,FAZ,4,True,,0.47,"Klima, Wirtschaft, Sport"
119,18,weiblich,Berlin,zentristisch,Die Linke,gelegentlich,Bildung,Spiegel,3,False,,0.71,"Politik, Essen, Klima"
120,44,weiblich,Sachsen,zentristisch,AfD,immer,Steuern,FAZ,6,True,2021.0,0.97,"Technologie, Politik, Essen"
121,54,divers,Berlin,konservativ,CDU,gelegentlich,Bildung,Tagesschau,6,False,2017.0,0.43,"Technologie, Politik, Essen"
122,56,weiblich,Sachsen,progressiv,SPD,immer,Migration,Spiegel,7,True,2021.0,0.17,"Klima, Bildung, Technologie"
123,30,divers,Bayern,liberal,SPD,gelegentlich,Sicherheit,Spiegel,2,True,,0.15,"Wirtschaft, Technologie, Bildung"
124,65,männlich,NRW,progressiv,SPD,immer,Migration,YouTube,3,False,2024.0,0.59,"Wirtschaft, Sport, Technologie"
125,59,divers,Sachsen,progressiv,Grüne,immer,Steuern,YouTube,6,True,,0.96,"Technologie, Politik, Sport"
126,57,divers,Hessen,zentristisch,CDU,immer,Steuern,TikTok,4,True,2024.0,0.07,"Wirtschaft, Reisen, Klima"
127,42,männlich,Bayern,liberal,SPD,immer,Klima,Facebook-Gruppen,8,False,2021.0,0.59,"Reisen, Essen, Klima"
128,59,männlich,Bayern,liberal,Grüne,immer,Sicherheit,Spiegel,9,False,2024.0,0.28,"Bildung, Wirtschaft, Essen"
129,42,divers,Sachsen,konservativ,AfD,gelegentlich,Steuern,Facebook-Gruppen,6,True,,0.71,"Musik, Reisen, Technologie"
130,28,männlich,Sachsen,liberal,Grüne,immer,Sicherheit,Facebook-Gruppen,0,False,,0.14,"Technologie, Klima, Musik"
131,67,divers,Hessen,progressiv,SPD,immer,Gesundheit,Facebook-Gruppen,3,True,2017.0,0.08,"Wirtschaft, Klima, Bildung"
132,24,divers,Hamburg,zentristisch,Die Linke,immer,Migration,Tagesschau,1,False,2017.0,0.21,"Sport, Politik, Essen"
133,38,divers,NRW,konservativ,CDU,immer,Gesundheit,Tagesschau,0,False,,0.62,"Politik, Sport, Musik"
134,72,weiblich,Bayern,zentristisch,SPD,immer,Steuern,Spiegel,2,False,2017.0,0.99,"Musik, Bildung, Reisen"
135,49,weiblich,Sachsen,zentristisch,FDP,immer,Bildung,Facebook-Gruppen,2,False,2021.0,0.86,"Essen, Sport, Bildung"
136,61,weiblich,Berlin,zentristisch,FDP,immer,Klima,Tagesschau,1,False,,0.73,"Reisen, Wirtschaft, Politik"
137,39,männlich,Hessen,zentristisch,Die Linke,gelegentlich,Gesundheit,Facebook-Gruppen,6,True,2017.0,0.86,"Reisen, Musik, Wirtschaft"
138,53,männlich,Bayern,zentristisch,SPD,immer,Klima,Spiegel,2,True,2024.0,0.56,"Sport, Bildung, Technologie"
139,43,weiblich,Bayern,zentristisch,AfD,immer,Migration,FAZ,0,False,2017.0,0.44,"Politik, Essen, Musik"
140,29,weiblich,Bayern,zentristisch,CDU,nie,Bildung,Tagesschau,0,False,2024.0,0.21,"Reisen, Bildung, Musik"
141,41,männlich,Hamburg,progressiv,CDU,gelegentlich,Bildung,YouTube,1,False,2024.0,0.53,"Klima, Sport, Politik"
142,42,divers,Hessen,liberal,FDP,gelegentlich,Klima,Facebook-Gruppen,1,True,2024.0,0.65,"Sport, Klima, Wirtschaft"
143,65,weiblich,Hessen,progressiv,CDU,immer,Migration,YouTube,2,True,2024.0,0.41,"Reisen, Technologie, Essen"
144,70,divers,Hamburg,liberal,SPD,immer,Sicherheit,Tagesschau,8,False,2017.0,0.18,"Reisen, Essen, Politik"
145,73,männlich,Sachsen,zentristisch,FDP,immer,Gesundheit,Tagesschau,3,True,,0.83,"Reisen, Bildung, Technologie"
146,65,divers,NRW,liberal,CDU,immer,Klima,YouTube,10,False,2017.0,0.91,"Wirtschaft, Reisen, Essen"
147,32,divers,NRW,konservativ,SPD,immer,Sicherheit,Telegram,9,True,2021.0,0.77,"Technologie, Musik, Wirtschaft"
148,31,männlich,Sachsen,progressiv,Die Linke,immer,Klima,Facebook-Gruppen,7,True,,0.11,"Klima, Sport, Reisen"
149,47,divers,Hessen,zentristisch,Die Linke,nie,Klima,Spiegel,7,True,2021.0,0.15,"Bildung, Reisen, Sport"
150,51,weiblich,Berlin,progressiv,FDP,gelegentlich,Bildung,Facebook-Gruppen,4,False,2017.0,0.41,"Essen, Musik, Technologie"
151,50,divers,Sachsen,progressiv,FDP,immer,Sicherheit,FAZ,0,True,2017.0,0.46,"Musik, Bildung, Technologie"
152,41,männlich,Berlin,konservativ,FDP,immer,Gesundheit,FAZ,0,False,2024.0,0.53,"Politik, Klima, Bildung"
153,37,divers,Hessen,zentristisch,SPD,gelegentlich,Steuern,FAZ,7,True,2021.0,0.98,"Klima, Wirtschaft, Sport"
154,33,divers,Berlin,progressiv,CDU,immer,Sicherheit,TikTok,9,False,2024.0,0.9,"Sport, Klima, Politik"
155,67,männlich,Bayern,liberal,SPD,immer,Migration,TikTok,8,True,,0.28,"Politik, Musik, Technologie"
156,75,weiblich,Hamburg,konservativ,AfD,immer,Bildung,Telegram,4,True,2017.0,0.64,"Technologie, Reisen, Sport"
157,42,weiblich,NRW,progressiv,SPD,immer,Sicherheit,Spiegel,4,True,2021.0,0.74,"Wirtschaft, Essen, Klima"
158,19,divers,Berlin,konservativ,CDU,immer,Klima,TikTok,1,True,,0.51,"Technologie, Wirtschaft, Politik"
159,55,weiblich,Hamburg,zentristisch,FDP,immer,Bildung,YouTube,10,True,,0.51,"Musik, Wirtschaft, Technologie"
160,56,männlich,Bayern,konservativ,Die Linke,gelegentlich,Klima,Tagesschau,1,False,2017.0,0.63,"Bildung, Technologie, Klima"
161,71,weiblich,Bayern,konservativ,CDU,immer,Klima,Telegram,8,False,2024.0,0.95,"Reisen, Politik, Wirtschaft"
162,60,weiblich,NRW,zentristisch,FDP,immer,Sicherheit,FAZ,1,True,2017.0,0.36,"Technologie, Politik, Musik"
163,63,männlich,NRW,konservativ,FDP,gelegentlich,Sicherheit,Spiegel,7,False,,0.05,"Technologie, Klima, Musik"
164,71,weiblich,Hessen,konservativ,FDP,immer,Klima,Tagesschau,2,True,2024.0,0.72,"Essen, Musik, Reisen"
165,50,divers,Berlin,liberal,SPD,immer,Sicherheit,YouTube,2,False,2017.0,0.17,"Klima, Politik, Bildung"
166,67,divers,Hessen,zentristisch,SPD,gelegentlich,Sicherheit,Tagesschau,3,False,2021.0,0.01,"Technologie, Wirtschaft, Musik"
167,42,divers,Hamburg,liberal,Grüne,immer,Sicherheit,Facebook-Gruppen,3,True,2024.0,0.3,"Musik, Technologie, Essen"
168,19,männlich,Berlin,progressiv,SPD,nie,Klima,Spiegel,9,False,2021.0,0.49,"Politik, Klima, Essen"
169,28,divers,Bayern,konservativ,Grüne,gelegentlich,Klima,YouTube,7,False,2024.0,0.55,"Technologie, Wirtschaft, Bildung"
170,23,weiblich,Hamburg,konservativ,Die Linke,immer,Migration,Spiegel,7,False,2017.0,0.97,"Musik, Technologie, Klima"
171,36,weiblich,Berlin,zentristisch,AfD,immer,Sicherheit,Facebook-Gruppen,0,True,2024.0,0.58,"Klima, Reisen, Politik"
172,46,divers,Berlin,zentristisch,Grüne,nie,Gesundheit,YouTube,7,True,2021.0,0.79,"Bildung, Musik, Klima"
173,31,weiblich,Bayern,progressiv,Grüne,gelegentlich,Klima,Telegram,0,True,2017.0,0.58,"Technologie, Musik, Politik"
174,27,divers,Hamburg,progressiv,SPD,immer,Sicherheit,Facebook-Gruppen,9,True,,0.75,"Wirtschaft, Musik, Reisen"
175,70,männlich,Bayern,konservativ,Die Linke,immer,Klima,Spiegel,10,True,2017.0,0.46,"Reisen, Technologie, Essen"
176,31,divers,Hamburg,progressiv,FDP,gelegentlich,Gesundheit,FAZ,7,False,2017.0,0.82,"Essen, Wirtschaft, Politik"
177,54,weiblich,Hessen,konservativ,FDP,gelegentlich,Klima,TikTok,3,True,2017.0,0.8,"Klima, Musik, Sport"
178,44,weiblich,Sachsen,liberal,CDU,gelegentlich,Gesundheit,Facebook-Gruppen,9,True,2024.0,0.45,"Sport, Reisen, Klima"
179,27,divers,Sachsen,zentristisch,AfD,immer,Migration,Facebook-Gruppen,1,True,2021.0,0.67,"Wirtschaft, Sport, Technologie"
180,50,männlich,Sachsen,konservativ,FDP,gelegentlich,Klima,Spiegel,1,True,2024.0,0.37,"Musik, Essen, Reisen"
181,33,männlich,NRW,zentristisch,SPD,immer,Migration,FAZ,10,True,2021.0,0.3,"Klima, Essen, Reisen"
182,58,divers,Bayern,progressiv,AfD,gelegentlich,Steuern,FAZ,7,False,2017.0,0.95,"Wirtschaft, Technologie, Essen"
183,72,männlich,Hessen,liberal,AfD,gelegentlich,Gesundheit,Spiegel,6,True,,0.92,"Musik, Klima, Politik"
184,47,weiblich,Berlin,konservativ,Grüne,immer,Sicherheit,FAZ,5,True,,0.54,"Technologie, Musik, Politik"
185,60,divers,Bayern,liberal,Grüne,immer,Sicherheit,YouTube,8,True,,0.88,"Politik, Musik, Wirtschaft"
186,62,weiblich,Bayern,progressiv,CDU,immer,Klima,TikTok,6,False,2024.0,0.27,"Wirtschaft, Klima, Technologie"
187,52,männlich,Hessen,liberal,SPD,immer,Bildung,Spiegel,2,True,2024.0,0.9,"Wirtschaft, Klima, Bildung"
188,36,weiblich,Sachsen,zentristisch,AfD,gelegentlich,Sicherheit,TikTok,4,False,,0.84,"Sport, Bildung, Wirtschaft"
189,57,weiblich,NRW,konservativ,CDU,immer,Migration,Spiegel,8,False,2017.0,0.77,"Wirtschaft, Reisen, Klima"
190,19,männlich,Hamburg,konservativ,FDP,immer,Gesundheit,Tagesschau,3,False,2024.0,0.23,"Technologie, Politik, Essen"
191,64,divers,NRW,zentristisch,AfD,immer,Migration,Telegram,8,False,2021.0,0.37,"Essen, Klima, Technologie"
192,52,männlich,Hessen,liberal,FDP,immer,Klima,TikTok,7,True,,0.49,"Wirtschaft, Sport, Bildung"
193,75,weiblich,Hamburg,zentristisch,AfD,gelegentlich,Sicherheit,Tagesschau,10,True,2021.0,0.16,"Klima, Reisen, Sport"
194,31,weiblich,Bayern,konservativ,FDP,gelegentlich,Klima,Telegram,10,False,2024.0,0.47,"Musik, Klima, Wirtschaft"
195,18,divers,Hessen,konservativ,Die Linke,nie,Steuern,Facebook-Gruppen,5,False,2017.0,0.54,"Reisen, Technologie, Bildung"
196,36,männlich,NRW,liberal,AfD,immer,Gesundheit,Tagesschau,3,True,2021.0,0.95,"Sport, Wirtschaft, Politik"
197,70,weiblich,Hessen,zentristisch,FDP,nie,Sicherheit,Spiegel,2,False,2024.0,0.99,"Technologie, Politik, Wirtschaft"
198,56,divers,Hessen,liberal,Grüne,immer,Sicherheit,Spiegel,1,False,2021.0,0.4,"Bildung, Politik, Technologie"
199,51,divers,Bayern,konservativ,CDU,immer,Klima,FAZ,3,True,2017.0,0.64,"Wirtschaft, Essen, Reisen"
200,74,divers,NRW,zentristisch,Grüne,immer,Steuern,TikTok,6,True,2021.0,0.37,"Politik, Musik, Sport"
201,63,männlich,Hamburg,zentristisch,CDU,immer,Migration,FAZ,5,True,2021.0,0.32,"Sport, Essen, Musik"
202,54,männlich,Bayern,progressiv,AfD,gelegentlich,Gesundheit,FAZ,4,True,2021.0,0.89,"Reisen, Klima, Sport"
203,35,divers,Berlin,liberal,Die Linke,immer,Bildung,Facebook-Gruppen,8,True,2024.0,0.07,"Politik, Essen, Klima"
204,52,weiblich,NRW,zentristisch,Grüne,immer,Migration,Facebook-Gruppen,8,True,2017.0,0.52,"Wirtschaft, Technologie, Sport"
