nutzer_id,alter,geschlecht,region,politische_haltung,gewaehlte_partei,wahlfrequenz,wichtigstes_wahlthema,vertrauensmedien,politisches_engagement,parteimitglied,uebereinstimmung_regierung,interessen,gewaehlte_partei_neu
133,38,weiblich,NRW,konservativ,CSU,immer,Gesundheit,Tagesschau,0,False,0.62,"Politik, Sport, Musik",FDP
134,72,weiblich,Bayern,zentristisch,Grüne,immer,Steuern,Spiegel,2,False,0.99,"Musik, Bildung, Reisen",CDU
135,49,weiblich,Sachsen,zentristisch,,nie,Bildung,Facebook-Gruppen,2,False,0.86,"Essen, Sport, Bildung",SPD
136,61,weiblich,Berlin,zentristisch,Die Linke,immer,Klima,Tagesschau,1,False,0.73,"Reisen, Wirtschaft, Politik",CDU
137,39,männlich,Hessen,zentristisch,CDU,gelegentlich,Gesundheit,Facebook-Gruppen,6,True,0.86,"Reisen, Musik, Wirtschaft",SPD
138,53,männlich,Bayern,zentristisch,SPD,immer,Klima,Spiegel,2,True,0.56,"Sport, Bildung, Technologie",FDP
139,43,weiblich,Bayern,zentristisch,CDU,immer,Migration,FAZ,0,False,0.44,"Politik, Essen, Musik",SPD
140,29,weiblich,Bayern,zentristisch,,nie,Bildung,Tagesschau,0,False,0.21,"Reisen, Bildung, Musik",CDU
141,41,männlich,Hamburg,progressiv,,nie,Bildung,YouTube,1,False,0.53,"Klima, Sport, Politik",Grüne
142,42,männlich,Hessen,liberal,Grüne,gelegentlich,Klima,Facebook-Gruppen,1,True,0.65,"Sport, Klima, Wirtschaft",FDP
143,65,weiblich,Hessen,progressiv,SPD,immer,Migration,YouTube,2,True,0.41,"Reisen, Technologie, Essen",Linke
144,70,weiblich,Hamburg,liberal,AfD,immer,Sicherheit,Tagesschau,8,False,0.18,"Reisen, Essen, Politik",Grüne
145,73,männlich,Sachsen,zentristisch,,nie,Gesundheit,Tagesschau,3,True,0.83,"Reisen, Bildung, Technologie",FDP
146,65,weiblich,NRW,liberal,AfD,immer,Klima,YouTube,10,False,0.91,"Wirtschaft, Reisen, Essen",SPD
147,32,männlich,NRW,konservativ,CDU,immer,Sicherheit,Telegram,9,True,0.77,"Technologie, Musik, Wirtschaft",FDP
148,31,männlich,Sachsen,progressiv,,nie,Klima,Facebook-Gruppen,7,True,0.11,"Klima, Sport, Reisen",Linke
149,47,männlich,Hessen,zentristisch,,nie,Klima,Spiegel,7,True,0.15,"Bildung, Reisen, Sport",FDP
150,51,weiblich,Berlin,progressiv,FDP,gelegentlich,Bildung,Facebook-Gruppen,4,False,0.41,"Essen, Musik, Technologie",SPD
151,50,männlich,Sachsen,progressiv,,nie,Sicherheit,FAZ,0,True,0.46,"Musik, Bildung, Technologie",Grüne
152,41,männlich,Berlin,konservativ,,nie,Gesundheit,FAZ,0,False,0.53,"Politik, Klima, Bildung",CDU
153,37,männlich,Hessen,zentristisch,CDU,gelegentlich,Steuern,FAZ,7,True,0.98,"Klima, Wirtschaft, Sport",CDU
154,33,männlich,Berlin,progressiv,FDP,immer,Sicherheit,TikTok,9,False,0.9,"Sport, Klima, Politik",SPD
155,67,männlich,Bayern,liberal,Grüne,immer,Migration,TikTok,8,True,0.28,"Politik, Musik, Technologie",SPD
156,75,weiblich,Hamburg,konservativ,SPD,immer,Bildung,Telegram,4,True,0.64,"Technologie, Reisen, Sport",CDU
157,42,weiblich,NRW,progressiv,SPD,immer,Sicherheit,Spiegel,4,True,0.74,"Wirtschaft, Essen, Klima",SPD
158,19,männlich,Berlin,konservativ,,nie,Klima,TikTok,1,True,0.51,"Technologie, Wirtschaft, Politik",CDU
159,55,weiblich,Hamburg,zentristisch,CSU,immer,Bildung,YouTube,10,True,0.51,"Musik, Wirtschaft, Technologie",SPD
160,56,männlich,Bayern,konservativ,CSU,gelegentlich,Klima,Tagesschau,1,False,0.63,"Bildung, Technologie, Klima",AfD
161,71,weiblich,Bayern,konservativ,CDU,immer,Klima,Telegram,8,False,0.95,"Reisen, Politik, Wirtschaft",FDP
162,60,weiblich,NRW,zentristisch,AfD,immer,Sicherheit,FAZ,1,True,0.36,"Technologie, Politik, Musik",SPD
163,63,männlich,NRW,konservativ,AfD,gelegentlich,Sicherheit,Spiegel,7,False,0.05,"Technologie, Klima, Musik",FDP
164,71,weiblich,Hessen,konservativ,,nie,Klima,Tagesschau,2,True,0.72,"Essen, Musik, Reisen",FDP
165,50,männlich,Berlin,liberal,CDU,immer,Sicherheit,YouTube,2,False,0.17,"Klima, Politik, Bildung",SPD
166,67,männlich,Hessen,zentristisch,CDU,gelegentlich,Sicherheit,Tagesschau,3,False,0.01,"Technologie, Wirtschaft, Musik",SPD
167,42,weiblich,Hamburg,liberal,CDU,immer,Sicherheit,Facebook-Gruppen,3,True,0.3,"Musik, Technologie, Essen",FDP
168,19,männlich,Berlin,progressiv,,nie,Klima,Spiegel,9,False,0.49,"Politik, Klima, Essen",Grüne
169,28,weiblich,Bayern,konservativ,FDP,gelegentlich,Klima,YouTube,7,False,0.55,"Technologie, Wirtschaft, Bildung",CDU
170,23,weiblich,Hamburg,konservativ,SPD,immer,Migration,Spiegel,7,False,0.97,"Musik, Technologie, Klima",CDU
171,36,weiblich,Berlin,zentristisch,,nie,Sicherheit,Facebook-Gruppen,0,True,0.58,"Klima, Reisen, Politik",FDP
172,46,männlich,Berlin,zentristisch,,nie,Gesundheit,YouTube,7,True,0.79,"Bildung, Musik, Klima",SPD
173,31,weiblich,Bayern,progressiv,,nie,Klima,Telegram,0,True,0.58,"Technologie, Musik, Politik",SPD
174,27,weiblich,Hamburg,progressiv,FDP,immer,Sicherheit,Facebook-Gruppen,9,True,0.75,"Wirtschaft, Musik, Reisen",Grüne
175,70,männlich,Bayern,konservativ,CDU,immer,Klima,Spiegel,10,True,0.46,"Reisen, Technologie, Essen",AfD
176,31,weiblich,Hamburg,progressiv,FDP,gelegentlich,Gesundheit,FAZ,7,False,0.82,"Essen, Wirtschaft, Politik",Linke
177,54,weiblich,Hessen,konservativ,FDP,gelegentlich,Klima,TikTok,3,True,0.8,"Klima, Musik, Sport",AfD
178,44,weiblich,Sachsen,liberal,FDP,gelegentlich,Gesundheit,Facebook-Gruppen,9,True,0.45,"Sport, Reisen, Klima",SPD
179,27,weiblich,Sachsen,zentristisch,,nie,Migration,Facebook-Gruppen,1,True,0.67,"Wirtschaft, Sport, Technologie",SPD
180,50,männlich,Sachsen,konservativ,,nie,Klima,Spiegel,1,True,0.37,"Musik, Essen, Reisen",CDU
181,33,männlich,NRW,zentristisch,,nie,Migration,FAZ,10,True,0.3,"Klima, Essen, Reisen",CDU
182,58,weiblich,Bayern,progressiv,CDU,gelegentlich,Steuern,FAZ,7,False,0.95,"Wirtschaft, Technologie, Essen",SPD
183,72,männlich,Hessen,liberal,Die Linke,gelegentlich,Gesundheit,Spiegel,6,True,0.92,"Musik, Klima, Politik",SPD
184,47,weiblich,Berlin,konservativ,SPD,immer,Sicherheit,FAZ,5,True,0.54,"Technologie, Musik, Politik",CDU
185,60,männlich,Bayern,liberal,AfD,immer,Sicherheit,YouTube,8,True,0.88,"Politik, Musik, Wirtschaft",FDP
186,62,weiblich,Bayern,progressiv,CSU,immer,Klima,TikTok,6,False,0.27,"Wirtschaft, Klima, Technologie",Linke
187,52,männlich,Hessen,liberal,SPD,immer,Bildung,Spiegel,2,True,0.9,"Wirtschaft, Klima, Bildung",Grüne
188,36,weiblich,Sachsen,zentristisch,FDP,gelegentlich,Sicherheit,TikTok,4,False,0.84,"Sport, Bildung, Wirtschaft",SPD
189,57,weiblich,NRW,konservativ,SPD,immer,Migration,Spiegel,8,False,0.77,"Wirtschaft, Reisen, Klima",FDP
190,19,männlich,Hamburg,konservativ,,nie,Gesundheit,Tagesschau,3,False,0.23,"Technologie, Politik, Essen",CDU
191,64,weiblich,NRW,zentristisch,CDU,immer,Migration,Telegram,8,False,0.37,"Essen, Klima, Technologie",SPD
192,52,männlich,Hessen,liberal,CDU,immer,Klima,TikTok,7,True,0.49,"Wirtschaft, Sport, Bildung",FDP
193,75,weiblich,Hamburg,zentristisch,SPD,gelegentlich,Sicherheit,Tagesschau,10,True,0.16,"Klima, Reisen, Sport",SPD
194,31,weiblich,Bayern,konservativ,SPD,gelegentlich,Klima,Telegram,10,False,0.47,"Musik, Klima, Wirtschaft",AfD
195,18,männlich,Hessen,konservativ,,nie,Steuern,Facebook-Gruppen,5,False,0.54,"Reisen, Technologie, Bildung",CDU
196,36,männlich,NRW,liberal,SPD,immer,Gesundheit,Tagesschau,3,True,0.95,"Sport, Wirtschaft, Politik",SPD
197,70,weiblich,Hessen,zentristisch,,nie,Sicherheit,Spiegel,2,False,0.99,"Technologie, Politik, Wirtschaft",CDU
198,56,weiblich,Hessen,liberal,AfD,immer,Sicherheit,Spiegel,1,False,0.4,"Bildung, Politik, Technologie",FDP
199,51,weiblich,Bayern,konservativ,SPD,immer,Klima,FAZ,3,True,0.64,"Wirtschaft, Essen, Reisen",CDU
200,74,weiblich,NRW,zentristisch,AfD,immer,Steuern,TikTok,6,True,0.37,"Politik, Musik, Sport",FDP
201,63,männlich,Hamburg,zentristisch,AfD,immer,Migration,FAZ,5,True,0.32,"Sport, Essen, Musik",FDP
202,54,männlich,Bayern,progressiv,Grüne,gelegentlich,Gesundheit,FAZ,4,True,0.89,"Reisen, Klima, Sport",Linke
203,35,männlich,Berlin,liberal,CDU,immer,Bildung,Facebook-Gruppen,8,True,0.07,"Politik, Essen, Klima",FDP
204,52,weiblich,NRW,zentristisch,SPD,immer,Migration,Facebook-Gruppen,8,True,0.52,"Wirtschaft, Technologie, Sport",FDP
205,61,männlich,NRW,progressiv,,nie,Migration,YouTube,10,False,0.95,"Sport, Technologie, Politik",SPD
206,29,weiblich,Hessen,zentristisch,,nie,Sicherheit,Facebook-Gruppen,0,False,0.87,"Technologie, Sport, Essen",FDP
207,20,weiblich,Hamburg,progressiv,Grüne,immer,Migration,FAZ,1,True,0.85,"Musik, Essen, Politik",Linke
208,59,weiblich,Sachsen,konservativ,,nie,Klima,TikTok,6,True,0.78,"Politik, Technologie, Reisen",FDP
209,31,weiblich,Hamburg,zentristisch,,nie,Klima,FAZ,3,True,0.4,"Wirtschaft, Essen, Klima",FDP
210,27,männlich,Berlin,konservativ,CDU,immer,Gesundheit,YouTube,6,False,0.29,"Essen, Reisen, Politik",FDP
